Player,Team,School/Previous Team,Year,Round,Pick
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7
Franz Wagner,Orlando Magic,Michigan,2021,1,8
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12
Chris Duarte,Indiana Pacers,Oregon,2021,1,13
Moses Moody,Golden State Warriors,Arkansas,2021,1,14
Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1
James Wiseman,Golden State Warriors,Memphis,2020,1,2
LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3
Patrick Williams,Chicago Bulls,Florida State,2020,1,4
Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5
Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6
Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7
Obi Toppin,New York Knicks,Dayton,2020,1,8
Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9
Jalen Smith,Phoenix Suns,Maryland,2020,1,10
Devin Vassell,San Antonio Spurs,Florida State,2020,1,11
Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12
Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13
Aaron Nesmith,Boston Celtics,Vanderbilt,2020,1,14
Zion Williamson,New Orleans Pelicans,Duke,2019,1,1
Ja Morant,Memphis Grizzlies,Murray State,2019,1,2
RJ Barrett,New York Knicks,Duke,2019,1,3
De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4
Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5
Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6
Coby White,Chicago Bulls,North Carolina,2019,1,7
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8
Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9
Cam Reddish,Atlanta Hawks,Duke,2019,1,10
Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11
P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12
Tyler Herro,Miami Heat,Kentucky,2019,1,13
Romeo Langford,Boston Celtics,Indiana,2019,1,14
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5
Mo Bamba,Orlando Magic,Texas,2018,1,6
Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8
Kevin Knox II,New York Knicks,Kentucky,2018,1,9
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11
Miles Bridges,LA Clippers,Michigan State,2018,1,12
Jerome Robinson,LA Clippers,Boston College,2018,1,13
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2
Jayson Tatum,Boston Celtics,Duke,2017,1,3
Josh Jackson,Phoenix Suns,Kansas,2017,1,4
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13
Bam Adebayo,Miami Heat,Kentucky,2017,1,14
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2
Jaylen Brown,Boston Celtics,California,2016,1,3
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7
Marquese Chriss,Phoenix Suns,Washington,2016,1,8
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9
Thon Maker,Milwaukee Bucks,,2016,1,10
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11
Taurean Prince,Utah Jazz,Baylor,2016,1,12
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9
Justise Winslow,Miami Heat,Duke,2015,1,10
Myles Turner,Indiana Pacers,Texas,2015,1,11
Trey Lyles,Utah Jazz,Kentucky,2015,1,12
Devin Booker,Phoenix Suns,Kentucky,2015,1,13
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3
Aaron Gordon,Orlando Magic,Arizona,2014,1,4
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10
Doug McDermott,Denver Nuggets,Creighton,2014,1,11
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1
Victor Oladipo,Orlando Magic,Indiana,2013,1,2
Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4
Alex Len,Phoenix Suns,Maryland,2013,1,5
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6
Ben McLemore,Sacramento Kings,Kansas,2013,1,7
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2
Bradley Beal,Washington Wizards,Florida,2012,1,3
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7
Terrence Ross,Toronto Raptors,Washington,2012,1,8
Andre Drummond,Detroit Pistons,Connecticut,2012,1,9
Austin Rivers,New Orleans Hornets,Duke,2012,1,10
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13
John Henson,Milwaukee Bucks,North Carolina,2012,1,14
Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1
Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2
Enes Kanter,Utah Jazz,Kentucky,2011,1,3
Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4
Jonas Valanciunas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5
Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6
